 -0.885000000000000     
  5.310213-160  5.206179-160  5.131832-160  5.015327-160  4.966918-160  4.835714-160  4.759972-160  4.648387-160
  4.561087-160  4.488283-160  4.405146-160  4.297682-160  4.212404-160  4.162196-160  4.032669-160  3.980762-160
  3.892411-160  3.829827-160  3.738928-160  3.643544-160  3.579205-160  3.510881-160  3.441344-160  3.343831-160
  3.284833-160  3.237570-160  3.140223-160  3.082997-160  3.015552-160  2.961208-160  2.877228-160  2.818094-160
  2.746352-160  2.712300-160  2.643699-160  2.571567-160  2.528946-160  2.468965-160  2.414825-160  2.348964-160
  2.321505-160  2.259175-160  2.221940-160  2.145691-160  2.117873-160  2.061173-160  2.018375-160  1.980813-160
  1.937900-160  1.900287-160  1.857118-160  1.814792-160  1.782035-160  1.745409-160  1.707932-160  1.669000-160
  1.646780-160  1.613530-160  1.579595-160  1.548480-160  1.526537-160  1.495717-160  1.468465-160  1.438561-160
 -0.835000000000000     
  1.039170-153  3.821750-158  9.715188-158  1.982926-157  3.937998-157  6.200988-157  8.060160-157  1.044743-156
  1.375229-156  2.094079-156  2.163197-156  2.549010-156  3.121133-156  3.717545-156  4.312793-156  4.399061-156
  5.647744-156  6.257828-156  6.835251-156  7.036410-156  8.147810-156  9.328469-156  9.358798-156  1.042078-155
  1.096779-155  1.237804-155  1.327361-155  1.373549-155  1.475156-155  1.574598-155  1.610948-155  1.739986-155
  1.788823-155  1.941338-155  2.024111-155  2.075780-155  2.240333-155  2.280711-155  2.393425-155  2.426351-155
  2.607107-155  2.693719-155  2.723183-155  2.852893-155  2.923044-155  3.069066-155  3.079170-155  3.188946-155
  3.305075-155  3.407320-155  3.480205-155  3.540767-155  3.655954-155  3.737950-155  3.794580-155  3.871392-155
  3.953629-155  4.059515-155  4.053556-155  4.147800-155  4.296555-155  4.299011-155  4.400646-155  4.365238-155
  4.509985-155  4.669611-155  4.592083-155  4.723328-155  4.684166-155  4.867130-155  4.805135-155  4.836318-155
  4.938910-155  4.920492-155  5.089290-155  4.986811-155  5.091276-155  5.159086-155  5.107244-155  5.189547-155
  5.178184-155  5.287051-155  5.249218-155  5.274562-155  5.279074-155  5.351427-155  5.356604-155  5.295735-155
  5.343665-155  5.377734-155  5.407648-155  5.362056-155  5.420905-155  5.378973-155  5.383841-155  5.369599-155
  5.374351-155  5.393608-155  5.451579-155  5.338558-155  5.381185-155  5.364524-155  5.347795-155  5.373072-155
  5.222894-155  5.397410-155  5.275341-155  5.260753-155  5.256360-155  5.270545-155  5.203187-155  5.142331-155
  5.175272-155  5.140491-155  5.137884-155  5.079633-155  5.106616-155  5.071077-155  4.987097-155  4.946217-155
  4.978583-155  4.937659-155  4.875878-155  4.848837-155  4.800915-155  4.827544-155  4.727387-155  4.715535-155
  4.666448-155  4.676115-155  4.627630-155  4.529458-155  4.562769-155  4.469692-155  4.469383-155  4.384895-155
  4.390205-155  4.367751-155  4.277748-155  4.232662-155  4.213306-155  4.179467-155  4.154463-155  4.050458-155
  4.042428-155  4.010975-155  3.958163-155  3.918193-155  3.866949-155  3.845709-155  3.788586-155  3.720549-155
  3.678221-155  3.658057-155  3.629573-155  3.535593-155  3.529705-155  3.493007-155  3.423926-155  3.378601-155
  3.348664-155  3.332291-155  3.243190-155  3.218593-155  3.154588-155  3.149982-155  3.054160-155  3.042882-155
  2.990771-155  2.939652-155  2.932478-155  2.855412-155  2.820411-155  2.776957-155  2.749374-155  2.679773-155
  2.653962-155  2.610528-155  2.577596-155  2.521850-155  2.485749-155  2.451206-155  2.395225-155  2.371436-155
  2.325471-155  2.294666-155  2.244589-155  2.204195-155  2.170692-155  2.122123-155  2.072297-155  2.057958-155
  2.012100-155  1.971951-155  1.942940-155  1.897578-155  1.878744-155  1.828163-155  1.798799-155  1.755646-155
  1.722087-155  1.693608-155  1.661136-155  1.620295-155  1.586920-155  1.567218-155  1.517655-155  1.496979-155
  1.463135-155  1.438878-155  1.403889-155  1.367617-155  1.342013-155  1.315986-155  1.288976-155  1.251449-155
  1.228632-155  1.210344-155  1.173190-155  1.150784-155  1.124906-155  1.103900-155  1.071905-155  1.049248-155
  1.021880-155  1.008431-155  9.822575-156  9.546181-156  9.383625-156  9.152496-156  8.948089-156  8.697056-156
  8.590527-156  8.353062-156  8.210248-156  7.922239-156  7.814648-156  7.599455-156  7.436470-156  7.292956-156
