#--it-----t--------dt-------EEK-------EEM-------EEGW------hrms------urms------orms------brms------umax------bmax-----divu2m----gg2m------oum------ourms-----oxurms----o2u2m---
  220   1.0214  9.58E-05 5.444E-06 8.860E-04 6.140E-12 3.153E-08 3.300E-03 2.986E+00 4.210E-02 1.421E-02 1.225E-01 6.065E-01 3.68E-11  1.35E-04  7.60E-03  8.54E-03  1.31E-04
  225   1.0219  9.56E-05 5.907E-06 9.021E-04 6.378E-12 3.262E-08 3.437E-03 3.113E+00 4.248E-02 1.484E-02 1.199E-01 6.329E-01 3.83E-11  1.52E-04  8.23E-03  9.27E-03  1.54E-04
  230   1.0223  9.55E-05 6.397E-06 9.195E-04 6.640E-12 3.369E-08 3.577E-03 3.242E+00 4.288E-02 1.539E-02 1.207E-01 6.584E-01 3.98E-11  1.69E-04  8.90E-03  1.00E-02  1.80E-04
  235   1.0228  9.54E-05 6.916E-06 9.337E-04 6.917E-12 3.477E-08 3.719E-03 3.373E+00 4.321E-02 1.579E-02 1.222E-01 6.829E-01 4.15E-11  1.84E-04  9.59E-03  1.09E-02  2.10E-04
  240   1.0233  9.53E-05 7.460E-06 9.469E-04 7.204E-12 3.583E-08 3.863E-03 3.506E+00 4.352E-02 1.611E-02 1.161E-01 7.040E-01 4.32E-11  1.96E-04  1.03E-02  1.17E-02  2.44E-04
  245   1.0238  9.53E-05 8.035E-06 9.651E-04 7.482E-12 3.689E-08 4.009E-03 3.642E+00 4.393E-02 1.639E-02 1.175E-01 7.284E-01 4.49E-11  2.07E-04  1.11E-02  1.26E-02  2.83E-04
  250   1.0243  9.52E-05 8.642E-06 9.750E-04 7.692E-12 3.794E-08 4.158E-03 3.780E+00 4.416E-02 1.689E-02 1.211E-01 7.537E-01 4.62E-11  2.19E-04  1.19E-02  1.36E-02  3.26E-04
  255   1.0247  9.51E-05 9.279E-06 9.950E-04 7.843E-12 3.897E-08 4.308E-03 3.920E+00 4.461E-02 1.761E-02 1.247E-01 7.759E-01 4.71E-11  2.29E-04  1.28E-02  1.46E-02  3.76E-04
  260   1.0252  9.50E-05 9.951E-06 1.019E-03 8.043E-12 4.000E-08 4.461E-03 4.062E+00 4.515E-02 1.847E-02 1.236E-01 7.995E-01 4.83E-11  2.40E-04  1.37E-02  1.57E-02  4.32E-04
  265   1.0257  9.48E-05 1.066E-05 1.040E-03 8.320E-12 4.102E-08 4.618E-03 4.206E+00 4.561E-02 1.938E-02 1.258E-01 8.230E-01 4.99E-11  2.48E-04  1.46E-02  1.68E-02  4.96E-04
