 -0.885000000000000     
  2.376471-117  2.290715-117  2.239140-117  2.150854-117  2.095250-117  2.021177-117  1.952649-117  1.872910-117
  1.813370-117  1.756952-117  1.690313-117  1.623347-117  1.567085-117  1.517509-117  1.448223-117  1.400514-117
  1.346047-117  1.298010-117  1.239671-117  1.185997-117  1.144163-117  1.093115-117  1.050311-117  9.992862-118
  9.573261-118  9.242770-118  8.757074-118  8.422062-118  8.001322-118  7.715849-118  7.292456-118  6.971793-118
  6.620948-118  6.373274-118  6.030976-118  5.711617-118  5.446627-118  5.214054-118  4.924403-118  4.669367-118
  4.478715-118  4.229923-118  4.033745-118  3.766983-118  3.605197-118  3.394637-118  3.216250-118  3.051910-118
  2.884420-118  2.734302-118  2.573952-118  2.426790-118  2.302305-118  2.171725-118  2.044977-118  1.922759-118
  1.820559-118  1.709369-118  1.609162-118  1.521779-118  1.433877-118  1.347669-118  1.267855-118  1.191997-118
 -0.825000000000000     
  1.727717-112  2.487705-116  1.205883-115  1.949215-115  4.016585-115  6.346241-115  7.873983-115  1.023736-114
  1.316532-114  1.947975-114  2.062186-114  2.330084-114  2.918971-114  3.378947-114  3.753696-114  3.734813-114
  4.812135-114  5.002794-114  5.508973-114  5.581052-114  6.254721-114  6.919361-114  6.963404-114  7.449025-114
  7.806498-114  8.607841-114  8.716153-114  8.995350-114  9.434988-114  9.559769-114  9.838602-114  1.023044-113
  1.023978-113  1.078563-113  1.094867-113  1.075314-113  1.123118-113  1.116401-113  1.136447-113  1.107683-113
  1.149243-113  1.144705-113  1.114899-113  1.134813-113  1.098997-113  1.131742-113  1.080179-113  1.070984-113
  1.082630-113  1.074097-113  1.054311-113  1.017530-113  1.015117-113  9.949236-114  9.571037-114  9.422288-114
  9.251926-114  9.207680-114  8.750902-114  8.529404-114  8.475800-114  8.132200-114  7.966925-114  7.513466-114
  7.448642-114  7.371698-114  6.952843-114  6.848614-114  6.489827-114  6.451838-114  6.120662-114  5.880152-114
  5.848130-114  5.538703-114  5.437916-114  5.201482-114  5.089234-114  4.964664-114  4.734338-114  4.654912-114
  4.499612-114  4.419662-114  4.285541-114  4.162448-114  4.026374-114  3.997380-114  3.888576-114  3.771495-114
  3.725621-114  3.664623-114  3.621536-114  3.517821-114  3.477234-114  3.430345-114  3.386448-114  3.331205-114
  3.333018-114  3.305992-114  3.319172-114  3.238615-114  3.236701-114  3.209936-114  3.241242-114  3.206119-114
  3.129437-114  3.217428-114  3.143964-114  3.146601-114  3.148819-114  3.175031-114  3.142525-114  3.110482-114
  3.142005-114  3.116188-114  3.129919-114  3.072044-114  3.113102-114  3.130847-114  3.070879-114  3.056422-114
  3.087800-114  3.066497-114  3.024639-114  3.027027-114  3.007705-114  3.022131-114  2.960676-114  2.953200-114
  2.949554-114  2.943305-114  2.900181-114  2.855389-114  2.890489-114  2.814314-114  2.798277-114  2.749524-114
  2.737356-114  2.736842-114  2.666885-114  2.629512-114  2.614121-114  2.579217-114  2.549298-114  2.464498-114
  2.453837-114  2.417839-114  2.374809-114  2.327795-114  2.296875-114  2.253362-114  2.202946-114  2.144616-114
  2.107565-114  2.069497-114  2.036887-114  1.967001-114  1.933975-114  1.900314-114  1.838103-114  1.789270-114
  1.753100-114  1.715690-114  1.650941-114  1.616441-114  1.565456-114  1.539902-114  1.469104-114  1.450407-114
  1.401731-114  1.360088-114  1.322544-114  1.269849-114  1.230829-114  1.195353-114  1.158189-114  1.105904-114
  1.080462-114  1.037372-114  1.007089-114  9.676245-115  9.306004-115  8.930804-115  8.591451-115  8.241726-115
  7.929935-115  7.662750-115  7.342840-115  7.038865-115  6.741201-115  6.462902-115  6.124056-115  5.930241-115
  5.664536-115  5.391127-115  5.199887-115  4.933578-115  4.732512-115  4.497551-115  4.287852-115  4.057053-115
