,f,Xi
439,7.5662185004810625e-06,0.00011520068115860277
440,7.601177617955321e-06,0.00011275850498226935
441,7.636298261282242e-06,0.00011037010224271485
442,7.671581176779302e-06,0.00010803697342329545
443,7.707027114212303e-06,0.00010575316493589894
444,7.742636826811279e-06,0.00010351763419122161
445,7.778411071286483e-06,0.0001013293606394003
446,7.814350607844542e-06,9.918734530411299e-05
447,7.850456200204511e-06,9.70906103265388e-05
448,7.886728615614156e-06,9.503819851894885e-05
449,7.923168624866261e-06,9.302917292773725e-05
450,7.959777002314978e-06,9.106261640569057e-05
451,7.996554525892348e-06,8.91376311932946e-05
452,8.033501977124734e-06,8.725333850889993e-05
453,8.070620141149508e-06,8.54088781475423e-05
454,8.107909806731694e-06,8.360500962089108e-05
455,8.145371766280737e-06,8.184270366799859e-05
456,8.183006815867389e-06,8.0117545277024e-05
457,8.220815755240541e-06,7.84287514163076e-05
458,8.258799387844272e-06,7.677555555967549e-05
459,8.296958520834915e-06,7.515720733852185e-05
460,8.335293965098187e-06,7.357297220122508e-05
461,8.37380653526649e-06,7.202213107973956e-05
462,8.412497049736117e-06,7.050398006322243e-05
463,8.451366330684723e-06,6.90178300785325e-05
464,8.490415204088754e-06,6.756300657746838e-05
465,8.529644499741017e-06,6.613884923059762e-05
466,8.569055051268347e-06,6.474471162753866e-05
467,8.608647696149245e-06,6.338009766131703e-05
468,8.648423275731726e-06,6.204792650067404e-05
469,8.688382635251194e-06,6.074375592801892e-05
470,8.72852662384837e-06,5.946699740566977e-05
471,8.768856094587427e-06,5.821707476627602e-05
472,8.809371904473993e-06,5.6993423952813015e-05
473,8.850074914473439e-06,5.5795492764035864e-05
474,8.890965989529167e-06,5.4622740605285554e-05
475,8.93204599858096e-06,5.347463824453412e-05
476,8.97331581458352e-06,5.235066757355384e-05
477,9.014776314524916e-06,5.1250321374111824e-05
478,9.056428379445294e-06,5.0173103089073575e-05
479,9.098272894455568e-06,4.9118526598320884e-05
480,9.140310748756224e-06,4.8086115999378736e-05
481,9.182542835656282e-06,4.707679699436693e-05
482,9.224970052592174e-06,4.609013475236844e-05
483,9.267593301146882e-06,4.5124151537872654e-05
484,9.310413487069085e-06,4.417841394807941e-05
485,9.353431520292377e-06,4.325249766369101e-05
486,9.39664831495469e-06,4.234598725853329e-05
487,9.440064789417605e-06,4.1458476013170824e-05
488,9.483681866285927e-06,4.0589565732424917e-05
489,9.527500472427302e-06,3.973886656671713e-05
490,9.571521538991856e-06,3.8905996837158656e-05
491,9.615746001432097e-06,3.809058286430211e-05
492,9.660174799522646e-06,3.729225880048743e-05
