#--it-----t--------dt-------EEK-------EEM-------EEGW------hrms------urms------orms------brms------umax------bmax-----divu2m----gg2m------oum------ourms-----oxurms----o2u2m---
  320   1.0312  9.62E-05 1.140E-06 1.291E-03 1.548E-11 4.122E-08 1.510E-03 1.193E+00 5.082E-02 7.254E-03 1.416E-01 1.930E-03 9.29E-11  1.52E-03  2.73E-03  9.84E-04  8.41E-06
  325   1.0317  9.61E-05 1.205E-06 1.325E-03 1.599E-11 4.208E-08 1.553E-03 1.226E+00 5.148E-02 7.548E-03 1.408E-01 1.990E-03 9.59E-11  1.61E-03  2.89E-03  1.04E-03  9.41E-06
  330   1.0321  9.61E-05 1.273E-06 1.347E-03 1.651E-11 4.293E-08 1.596E-03 1.260E+00 5.190E-02 7.836E-03 1.427E-01 2.048E-03 9.91E-11  1.70E-03  3.05E-03  1.10E-03  1.05E-05
  335   1.0326  9.60E-05 1.343E-06 1.359E-03 1.714E-11 4.378E-08 1.639E-03 1.293E+00 5.214E-02 8.135E-03 1.471E-01 2.098E-03 1.03E-10  1.79E-03  3.22E-03  1.16E-03  1.17E-05
  340   1.0331  9.60E-05 1.415E-06 1.377E-03 1.791E-11 4.463E-08 1.682E-03 1.327E+00 5.248E-02 8.439E-03 1.407E-01 2.144E-03 1.07E-10  1.89E-03  3.39E-03  1.23E-03  1.30E-05
  345   1.0336  9.59E-05 1.491E-06 1.394E-03 1.866E-11 4.549E-08 1.727E-03 1.362E+00 5.280E-02 8.756E-03 1.453E-01 2.191E-03 1.12E-10  1.99E-03  3.58E-03  1.30E-03  1.45E-05
  350   1.0341  9.58E-05 1.569E-06 1.419E-03 1.923E-11 4.635E-08 1.772E-03 1.397E+00 5.327E-02 9.054E-03 1.481E-01 2.244E-03 1.15E-10  2.09E-03  3.77E-03  1.37E-03  1.61E-05
  355   1.0345  9.57E-05 1.650E-06 1.421E-03 1.962E-11 4.723E-08 1.817E-03 1.432E+00 5.331E-02 9.333E-03 1.497E-01 2.295E-03 1.18E-10  2.20E-03  3.97E-03  1.44E-03  1.78E-05
  360   1.0350  9.57E-05 1.733E-06 1.444E-03 2.006E-11 4.811E-08 1.862E-03 1.467E+00 5.374E-02 9.606E-03 1.546E-01 2.349E-03 1.20E-10  2.30E-03  4.17E-03  1.52E-03  1.97E-05
  365   1.0355  9.56E-05 1.819E-06 1.461E-03 2.080E-11 4.899E-08 1.907E-03 1.502E+00 5.406E-02 9.859E-03 1.598E-01 2.404E-03 1.25E-10  2.42E-03  4.38E-03  1.60E-03  2.17E-05
  370   1.0360  9.56E-05 1.907E-06 1.477E-03 2.166E-11 4.987E-08 1.953E-03 1.538E+00 5.435E-02 1.011E-02 1.644E-01 2.460E-03 1.30E-10  2.53E-03  4.59E-03  1.68E-03  2.39E-05
  375   1.0364  9.55E-05 1.999E-06 1.503E-03 2.222E-11 5.078E-08 2.000E-03 1.574E+00 5.483E-02 1.036E-02 1.647E-01 2.519E-03 1.33E-10  2.65E-03  4.81E-03  1.76E-03  2.63E-05
  380   1.0369  9.55E-05 2.094E-06 1.529E-03 2.248E-11 5.172E-08 2.047E-03 1.611E+00 5.530E-02 1.060E-02 1.671E-01 2.584E-03 1.35E-10  2.78E-03  5.04E-03  1.85E-03  2.88E-05
  385   1.0374  9.54E-05 2.193E-06 1.552E-03 2.253E-11 5.268E-08 2.094E-03 1.648E+00 5.571E-02 1.082E-02 1.693E-01 2.646E-03 1.35E-10  2.91E-03  5.28E-03  1.93E-03  3.16E-05
  390   1.0379  9.53E-05 2.295E-06 1.578E-03 2.273E-11 5.362E-08 2.142E-03 1.685E+00 5.618E-02 1.105E-02 1.767E-01 2.711E-03 1.36E-10  3.04E-03  5.53E-03  2.03E-03  3.46E-05
  395   1.0384  9.52E-05 2.400E-06 1.603E-03 2.328E-11 5.453E-08 2.191E-03 1.723E+00 5.662E-02 1.132E-02 1.729E-01 2.777E-03 1.40E-10  3.18E-03  5.78E-03  2.12E-03  3.79E-05
  400   1.0388  9.51E-05 2.508E-06 1.614E-03 2.401E-11 5.540E-08 2.240E-03 1.761E+00 5.682E-02 1.161E-02 1.765E-01 2.845E-03 1.44E-10  3.32E-03  6.03E-03  2.21E-03  4.13E-05
  405   1.0393  9.51E-05 2.619E-06 1.616E-03 2.467E-11 5.625E-08 2.289E-03 1.799E+00 5.685E-02 1.189E-02 1.687E-01 2.910E-03 1.48E-10  3.47E-03  6.29E-03  2.31E-03  4.50E-05
  410   1.0398  9.51E-05 2.733E-06 1.666E-03 2.525E-11 5.705E-08 2.338E-03 1.838E+00 5.772E-02 1.212E-02 1.731E-01 2.983E-03 1.51E-10  3.61E-03  6.56E-03  2.41E-03  4.88E-05
  415   1.0403  9.51E-05 2.852E-06 1.704E-03 2.595E-11 5.783E-08 2.388E-03 1.877E+00 5.838E-02 1.235E-02 1.741E-01 3.070E-03 1.56E-10  3.77E-03  6.84E-03  2.51E-03  5.30E-05
  420   1.0407  9.51E-05 2.976E-06 1.721E-03 2.697E-11 5.861E-08 2.440E-03 1.917E+00 5.867E-02 1.254E-02 1.767E-01 3.158E-03 1.62E-10  3.93E-03  7.12E-03  2.62E-03  5.76E-05
  425   1.0412  9.50E-05 3.103E-06 1.732E-03 2.799E-11 5.940E-08 2.491E-03 1.957E+00 5.885E-02 1.273E-02 1.698E-01 3.245E-03 1.68E-10  4.10E-03  7.42E-03  2.73E-03  6.24E-05
  430   1.0417  9.50E-05 3.234E-06 1.747E-03 2.872E-11 6.023E-08 2.543E-03 1.998E+00 5.912E-02 1.292E-02 1.694E-01 3.328E-03 1.72E-10  4.27E-03  7.72E-03  2.84E-03  6.76E-05
  435   1.0422  9.50E-05 3.367E-06 1.754E-03 2.933E-11 6.108E-08 2.595E-03 2.038E+00 5.923E-02 1.312E-02 1.678E-01 3.399E-03 1.76E-10  4.44E-03  8.02E-03  2.96E-03  7.31E-05
  440   1.0426  9.49E-05 3.504E-06 1.755E-03 3.003E-11 6.195E-08 2.647E-03 2.079E+00 5.924E-02 1.328E-02 1.675E-01 3.459E-03 1.80E-10  4.62E-03  8.33E-03  3.08E-03  7.88E-05
  445   1.0431  9.50E-05 3.643E-06 1.796E-03 3.071E-11 6.282E-08 2.700E-03 2.120E+00 5.993E-02 1.343E-02 1.713E-01 3.517E-03 1.84E-10  4.80E-03  8.64E-03  3.20E-03  8.49E-05
  450   1.0436  9.49E-05 3.787E-06 1.824E-03 3.136E-11 6.372E-08 2.752E-03 2.161E+00 6.039E-02 1.366E-02 1.717E-01 3.575E-03 1.88E-10  4.99E-03  8.96E-03  3.32E-03  9.13E-05
  455   1.0441  9.50E-05 3.936E-06 1.846E-03 3.182E-11 6.465E-08 2.806E-03 2.203E+00 6.077E-02 1.388E-02 1.708E-01 3.639E-03 1.91E-10  5.18E-03  9.29E-03  3.45E-03  9.82E-05
  460   1.0445  9.50E-05 4.089E-06 1.864E-03 3.224E-11 6.563E-08 2.860E-03 2.245E+00 6.106E-02 1.407E-02 1.709E-01 3.711E-03 1.93E-10  5.38E-03  9.63E-03  3.58E-03  1.06E-04
  465   1.0450  9.50E-05 4.246E-06 1.887E-03 3.279E-11 6.664E-08 2.914E-03 2.287E+00 6.143E-02 1.426E-02 1.711E-01 3.791E-03 1.97E-10  5.58E-03  9.97E-03  3.71E-03  1.13E-04
