,f,M
131,0.010273241270911674,-0.0059602607202151325
132,0.010402123507770786,-0.0057029084539717695
133,0.010532622627806291,-0.0050592386285136515
134,0.01070917170234262,-0.00368592211561649
135,0.01084352287423754,-0.0020120721322523516
136,0.010979559539454583,-0.0008103880545951431
137,0.011071197465991528,0.00047720862729862257
138,0.011117302843233435,0.0022799596458897564
139,0.011256774196090039,0.003395795377054804
140,0.011397995277144374,0.0042970102419894254
141,0.011540988037490362,0.004811907547709299
142,0.01173443945308315,0.004983347209716105
143,0.011832377780817508,0.0047256736547508435
144,0.011980820056778835,0.0042533149758107805
145,0.012131124605032392,0.0030941695249333684
146,0.012437414263547525,0.001205120355639397
147,0.012645891682272956,-0.0006838002981658167
148,0.012645891682272956,-0.002014449668794424
