 -0.885000000000000     
  4.264320-154  4.630077-154  4.826086-154  4.955437-154  5.348474-154  5.448446-154  5.717763-154  5.790185-154
  6.217498-154  6.429038-154  6.493398-154  6.814529-154  6.973484-154  7.318743-154  7.344375-154  7.607660-154
  7.884279-154  8.125180-154  8.296939-154  8.442856-154  8.717310-154  8.906310-154  9.041583-154  9.222399-154
  9.422063-154  9.666824-154  9.651778-154  9.878729-154  1.022069-153  1.023407-153  1.046859-153  1.038589-153
  1.071958-153  1.109523-153  1.091042-153  1.121346-153  1.111872-153  1.154813-153  1.140168-153  1.146543-153
  1.170559-153  1.166101-153  1.205443-153  1.181145-153  1.205551-153  1.221117-153  1.207717-153  1.227291-153
  1.224623-153  1.248961-153  1.240132-153  1.245810-153  1.246281-153  1.262910-153  1.263914-153  1.249231-153
  1.259781-153  1.267987-153  1.274066-153  1.262819-153  1.276143-153  1.266393-153  1.266867-153  1.263128-153
  1.264028-153  1.268149-153  1.281094-153  1.254680-153  1.264040-153  1.259895-153  1.255306-153  1.260896-153
  1.225668-153  1.266194-153  1.237091-153  1.233197-153  1.231996-153  1.234721-153  1.218525-153  1.204416-153
  1.211670-153  1.203416-153  1.202364-153  1.188826-153  1.194845-153  1.186085-153  1.165994-153  1.155930-153
  1.163699-153  1.153757-153  1.139012-153  1.132199-153  1.120808-153  1.127011-153  1.103016-153  1.100221-153
  1.088351-153  1.090464-153  1.078855-153  1.055741-153  1.063223-153  1.041638-153  1.041322-153  1.021007-153
  1.022060-153  1.016678-153  9.953312-154  9.846687-154  9.797100-154  9.720066-154  9.655670-154  9.412949-154
  9.391717-154  9.318383-154  9.190353-154  9.093395-154  8.972611-154  8.922589-154  8.786393-154  8.623610-154
  8.525009-154  8.473782-154  8.406625-154  8.183353-154  8.167381-154  8.079755-154  7.917260-154  7.809431-154
  7.737267-154  7.697133-154  7.490639-154  7.428498-154  7.277730-154  7.262785-154  7.038058-154  7.011761-154
  6.889827-154  6.768551-154  6.746241-154  6.568490-154  6.486111-154  6.379994-154  6.314635-154  6.152079-154
  6.088324-154  5.985966-154  5.906939-154  5.775504-154  5.691239-154  5.607983-154  5.477685-154  5.420057-154
  5.312564-154  5.239531-154  5.121202-154  5.024560-154  4.946269-154  4.832011-154  4.715227-154  4.679642-154
  4.572209-154  4.478254-154  4.409350-154  4.302073-154  4.257096-154  4.139170-154  4.069960-154  3.969030-154
  3.890739-154  3.823184-154  3.746164-154  3.652589-154  3.573464-154  3.526359-154  3.412114-154  3.361890-154
  3.283823-154  3.226972-154  3.145733-154  3.062877-154  3.001263-154  2.941383-154  2.878186-154  2.791239-154
  2.738076-154  2.695418-154  2.610278-154  2.557496-154  2.497672-154  2.448777-154  2.375877-154  2.323781-154
  2.261341-154  2.229143-154  2.169367-154  2.106080-154  2.068855-154  2.015517-154  1.969330-154  1.912197-154
  1.887501-154  1.833455-154  1.800597-154  1.735777-154  1.710936-154  1.662277-154  1.625373-154  1.592528-154
  1.556199-154  1.523879-154  1.487067-154  1.451322-154  1.422620-154  1.392397-154  1.360782-154  1.327201-154
  1.309068-154  1.281011-154  1.252695-154  1.225591-154  1.207309-154  1.181661-154  1.159175-154  1.134604-154
 -0.815000000000000     
  2.148136-148  8.810475-153  2.091087-152  4.288770-152  8.357011-152  1.325917-151  1.764654-151  2.271725-151
  2.988167-151  4.543150-151  4.671528-151  5.480945-151  6.769521-151  8.070185-151  9.425652-151  9.592050-151
  1.240137-150  1.371032-150  1.507894-150  1.545395-150  1.782471-150  2.050725-150  2.058774-150  2.294088-150
  2.411577-150  2.726453-150  2.935454-150  3.040619-150  3.251540-150  3.474475-150  3.559117-150  3.845368-150
  3.957590-150  4.297739-150  4.477733-150  4.604556-150  4.970213-150  5.066364-150  5.316681-150  5.376480-150
  5.768754-150  5.971142-150  6.023596-150  6.334076-150  6.470921-150  6.788960-150  6.812206-150  7.059914-150
  7.314557-150  7.535006-150  7.692228-150  7.827651-150  8.082767-150  8.250912-150  8.376305-150  8.541540-150
  8.729216-150  8.948297-150  8.933931-150  9.145829-150  9.447250-150  9.470677-150  9.678736-150  9.602852-150
  9.899057-150  1.024315-149  1.007177-149  1.034141-149  1.025208-149  1.064063-149  1.050853-149  1.055428-149
  1.077431-149  1.073173-149  1.108414-149  1.086183-149  1.108252-149  1.122002-149  1.108586-149  1.126495-149
  1.124207-149  1.144913-149  1.136901-149  1.141803-149  1.141486-149  1.156258-149  1.156898-149  1.143120-149
  1.151841-149  1.159439-149  1.163982-149  1.153125-149  1.164593-149  1.155853-149  1.155488-149  1.151596-149
  1.152270-149  1.155377-149  1.166370-149  1.142488-149  1.150277-149  1.146171-149  1.141199-149  1.145811-149
  1.113796-149  1.149970-149  1.123118-149  1.118948-149  1.117483-149  1.119308-149  1.104093-149  1.091265-149
  1.097341-149  1.089573-149  1.088140-149  1.075756-149  1.080779-149  1.072370-149  1.053502-149  1.043869-149
  1.050971-149  1.041401-149  1.027743-149  1.021015-149  1.010357-149  1.015792-149  9.933384-150  9.906274-150
  9.795564-150  9.811048-150  9.702719-150  9.492095-150  9.554656-150  9.361120-150  9.353190-150  9.162955-150
  9.169330-150  9.117907-150  8.921859-150  8.821584-150  8.772405-150  8.704075-150  8.638275-150  8.418405-150
  8.395842-150  8.329653-150  8.208577-150  8.115869-150  8.005563-150  7.958206-150  7.831998-150  7.679988-150
