 -0.885000000000000     
  0.000000E+00  8.340322-101 -7.020142-101 -3.556446-101 -4.780314-100  3.991812-100  1.854698-100  7.405457-100
  2.133326E-79  5.511579E-79  3.505053E-79  3.697753E-79  2.743741E-79  2.702983E-79  3.670352E-79  2.522387E-79
  3.031451E-79  4.135590E-79  3.645228E-79  4.963020E-79  3.874955E-79  4.818362E-79  5.633928E-79  4.237080E-79
  3.116982E-79  4.181895E-79  3.473612E-79  3.184488E-79  5.424753E-79  3.512155E-79  3.767164E-79  5.549787E-79
  7.059103E-79  5.352279E-79  7.896297E-79  7.854859E-79  7.536438E-79  9.411600E-79  6.148288E-79  8.928906E-79
  1.161073E-78  1.063463E-78  1.191202E-78  1.413550E-78  1.280678E-78  1.496399E-78  1.258569E-78  1.857541E-78
  1.984438E-78  2.179093E-78  2.584510E-78  2.237542E-78  2.689953E-78  2.583322E-78  3.082877E-78  2.778298E-78
  3.084663E-78  3.411976E-78  4.001532E-78  3.575464E-78  4.117838E-78  4.593932E-78  4.189735E-78  5.030555E-78
  5.243284E-78  5.588737E-78  5.745034E-78  6.504994E-78  6.285856E-78  6.827972E-78  6.871416E-78  7.617945E-78
  7.777186E-78  8.394755E-78  8.491209E-78  8.575978E-78  8.843937E-78  9.656221E-78  1.009595E-77  9.986661E-78
  1.083503E-77  1.117220E-77  1.124113E-77  1.186171E-77  1.205988E-77  1.288282E-77  1.303410E-77  1.354117E-77
  1.389623E-77  1.424017E-77  1.471599E-77  1.466529E-77  1.563982E-77  1.609576E-77  1.603309E-77  1.642723E-77
 -0.795000000000000     
  0.000000E+00  1.175796E-79 -6.467627E-81 -1.458213E-79 -1.836349E-79  3.249229E-79  6.367144E-79  2.428023E-79
  5.386994E-79  2.679909E-78  3.007573E-78  1.927863E-78  2.376640E-78  3.091275E-78  5.553874E-78  5.918468E-78
  6.171308E-78  9.279193E-78  8.686745E-78  1.389104E-77  1.301396E-77  1.423582E-77  1.360906E-77  1.818518E-77
