 -0.885000000000000     
  1.608232-141  1.864895-146  7.680513-146  1.304802-145  2.702765-145  4.624874-145  5.481873-145  7.412591-145
  7.043162E-60  7.882915E-60  6.653181E-60  5.660680E-60  5.271457E-60  4.511956E-60  3.924847E-60  3.102360E-60
  2.967639E-60  2.624255E-60  2.294606E-60  2.027205E-60  2.018353E-60  2.023400E-60  1.891112E-60  1.864464E-60
  1.850713E-60  1.877573E-60  1.843906E-60  1.671476E-60  1.647603E-60  1.447372E-60  1.378010E-60  1.262623E-60
  1.106088E-60  1.019514E-60  8.521142E-61  7.063759E-61  6.172658E-61  4.978631E-61  4.031191E-61  3.275838E-61
  2.715026E-61  2.086500E-61  1.573980E-61  1.249700E-61  8.857497E-62  6.949121E-62  4.786598E-62  3.561534E-62
  2.526454E-62  1.778265E-62  1.225847E-62  8.274221E-63  5.502442E-63  3.697563E-63  2.396649E-63  1.567615E-63
  9.799074E-64  6.325999E-64  3.756463E-64  2.342144E-64  1.414652E-64  8.237474E-65  4.822966E-65  2.750217E-65
  1.588319E-65  8.942065E-66  4.761806E-66  2.657682E-66  1.363305E-66  7.350824E-67  3.712980E-67  1.912087E-67
  9.723598E-68  4.638747E-68  2.278687E-68  1.049157E-68  4.943739E-69  2.277995E-69  9.839448E-70  4.432996E-70
  1.917315E-70  8.081042E-71  3.388387E-71  1.380318E-71  5.644779E-72  2.294643E-72  9.224342E-73  3.802393E-73
  1.612081E-73  6.933307E-74  3.133684E-74  1.466155E-74  7.350429E-75  3.836166E-75  2.109014E-75  1.203186E-75
  7.189495E-76  4.448997E-76  2.790588E-76  1.765016E-76  1.169782E-76  7.833935E-77  5.382004E-77  3.683801E-77
  2.544143E-77  1.884472E-77  1.317229E-77  9.564480E-78  7.058545E-78  5.260195E-78  3.895416E-78  2.908217E-78
  2.238945E-78  1.705375E-78  1.320502E-78  1.017367E-78  8.108680E-79  6.392962E-79  5.042164E-79  4.014207E-79
  3.299438E-79  2.648773E-79  2.153701E-79  1.774868E-79  1.470120E-79  1.231914E-79  1.015168E-79  8.601381E-80
  7.307786E-80  6.240949E-80  5.347750E-80  4.582291E-80  4.054602E-80  3.466340E-80  3.088374E-80  2.684876E-80
  2.408914E-80  2.153028E-80  1.899553E-80  1.702871E-80  1.545667E-80  1.393008E-80  1.269513E-80  1.137926E-80
  1.048201E-80  9.606793E-81  8.801263E-81  7.996419E-81  7.351447E-81  6.768070E-81  6.213832E-81  5.711207E-81
  5.267674E-81  4.885639E-81  4.527289E-81  4.130577E-81  3.810649E-81  3.518827E-81  3.184418E-81  2.897531E-81
  2.639962E-81  2.401481E-81  2.120693E-81  1.918255E-81  1.693146E-81  1.512595E-81  1.310837E-81  1.158483E-81
  1.007414E-81  8.719874E-82  7.594802E-82  6.428078E-82  5.557634E-82  4.739306E-82  4.029066E-82  3.361509E-82
  2.860270E-82  2.400089E-82  2.009820E-82  1.658354E-82  1.388162E-82  1.157022E-82  9.518774E-83  7.864970E-83
  6.477908E-83  5.363724E-83  4.408009E-83  3.613937E-83  2.973439E-83  2.448793E-83  2.017303E-83  1.676555E-83
  1.376879E-83  1.135960E-83  9.442368E-84  7.779530E-84  6.475360E-84  5.358125E-84  4.466756E-84  3.706286E-84
  3.091187E-84  2.588157E-84  2.169003E-84  1.798445E-84  1.515934E-84  1.279632E-84  1.065844E-84  9.028973E-85
  7.598460E-85  6.410262E-85  5.401014E-85  4.548822E-85  3.868008E-85  3.272487E-85  2.782405E-85  2.347916E-85
  2.006901E-85  1.713931E-85  1.448157E-85  1.241618E-85  1.057163E-85  9.073203E-86  7.688021E-86  6.629657E-86
  5.652004E-86  4.906922E-86  4.194001E-86  3.567617E-86  3.086685E-86  2.657597E-86  2.281390E-86  1.957278E-86
  1.702565E-86  1.466497E-86  1.272893E-86  1.083034E-86  9.521056E-87  8.200985E-87  7.095092E-87  6.164654E-87
  5.338440E-87  4.658922E-87  4.043199E-87  3.505031E-87  3.056584E-87  2.650962E-87  2.319197E-87  2.012109E-87
  1.761853E-87  1.537134E-87  1.347570E-87  1.178027E-87  1.032809E-87  9.037485E-88  7.939589E-88  6.955579E-88
 -0.290000000000002     
  9.806206E-59  2.499155E-60  6.409334E-60  1.048219E-59  2.110168E-59  2.648379E-59  2.969494E-59  3.044678E-59
  3.206056E-59  3.564441E-59  2.990781E-59  2.524146E-59  2.341069E-59  1.992832E-59  1.728420E-59  1.365177E-59
  1.307336E-59  1.163275E-59  1.022325E-59  9.091857E-60  9.102884E-60  9.162116E-60  8.576494E-60  8.436189E-60
  8.364744E-60  8.459324E-60  8.275287E-60  7.448964E-60  7.295691E-60  6.364677E-60  6.018343E-60  5.471632E-60
  4.749750E-60  4.338403E-60  3.596182E-60  2.952528E-60  2.555039E-60  2.039864E-60  1.633308E-60  1.314087E-60
  1.075889E-60  8.167076E-61  6.084181E-61  4.770714E-61  3.335502E-61  2.583243E-61  1.753374E-61  1.287294E-61
  8.993951E-62  6.235088E-62  4.231295E-62  2.812263E-62  1.837952E-62  1.214038E-62  7.738900E-63  4.970898E-63
  3.051988E-63  1.933816E-63  1.126470E-63  6.884546E-64  4.073835E-64  2.323457E-64  1.330597E-64  7.426040E-65
  4.189826E-65  2.305675E-65  1.197091E-65  6.525229E-66  3.259747E-66  1.713309E-66  8.415029E-67  4.215691E-67
  2.084261E-67  9.650525E-68  4.601099E-68  2.051295E-68  9.342343E-69  4.180125E-69  1.745837E-69  7.611253E-70
  3.186258E-70  1.302919E-70  5.302363E-71  2.104402E-71  8.440851E-72  3.386888E-72  1.364185E-72  5.693376E-73
  2.488315E-73  1.114310E-73  5.298070E-74  2.627723E-74  1.395072E-74  7.622478E-75  4.401990E-75  2.598684E-75
  1.615061E-75  1.019874E-75  6.559783E-76  4.242128E-76  2.882501E-76  1.962356E-76  1.351054E-76  9.387052E-77
  6.572750E-77  4.840408E-77  3.443137E-77  2.527188E-77  1.877540E-77  1.403760E-77  1.045390E-77  7.945459E-78
  6.064738E-78  4.669813E-78  3.628855E-78  2.802943E-78  2.248535E-78  1.787249E-78  1.411716E-78  1.134768E-78
  9.260833E-79  7.544492E-79  6.126608E-79  5.068580E-79  4.211202E-79  3.561170E-79  2.932261E-79  2.485420E-79
  2.116746E-79  1.816047E-79  1.556981E-79  1.335899E-79  1.177475E-79  1.019154E-79  9.045456E-80  7.902299E-80
  7.092400E-80  6.371096E-80  5.622288E-80  5.053332E-80  4.606869E-80  4.155544E-80  3.787555E-80  3.402728E-80
  3.149029E-80  2.871180E-80  2.639667E-80  2.412596E-80  2.211969E-80  2.056989E-80  1.878442E-80  1.717258E-80
  1.593850E-80  1.475376E-80  1.367009E-80  1.242944E-80  1.148907E-80  1.058221E-80  9.593481E-81  8.675554E-81
  7.917415E-81  7.204638E-81  6.383615E-81  5.743530E-81  5.045263E-81  4.500732E-81  3.900841E-81  3.461972E-81
  2.993362E-81  2.590881E-81  2.248048E-81  1.898249E-81  1.635960E-81  1.385919E-81  1.179927E-81  9.845136E-82
  8.329258E-82  6.960649E-82  5.840966E-82  4.824280E-82  4.007647E-82  3.333719E-82  2.737068E-82  2.266022E-82
  1.863400E-82  1.538351E-82  1.262536E-82  1.037411E-82  8.602350E-83  7.044768E-83  5.785545E-83  4.795501E-83
  3.963514E-83  3.256083E-83  2.717267E-83  2.243483E-83  1.862210E-83  1.541898E-83  1.287203E-83  1.067454E-83
  8.888842E-84  7.472407E-84  6.240763E-84  5.198111E-84  4.380065E-84  3.709192E-84  3.093454E-84  2.610816E-84
  2.204471E-84  1.865327E-84  1.573487E-84  1.326195E-84  1.126524E-84  9.557633E-85  8.131016E-85  6.835428E-85
  5.868698E-85  5.023842E-85  4.236078E-85  3.621069E-85  3.106907E-85  2.668136E-85  2.253589E-85  1.944563E-85
  1.658684E-85  1.432299E-85  1.226433E-85  1.049410E-85  9.058969E-86  7.826727E-86  6.689283E-86  5.761724E-86
  5.018397E-86  4.309157E-86  3.732853E-86  3.187007E-86  2.795387E-86  2.414505E-86  2.086606E-86  1.816680E-86
  1.571410E-86  1.370737E-86  1.187081E-86  1.031236E-86  9.015294E-87  7.825777E-87  6.835249E-87  5.929469E-87
  5.202324E-87  4.533057E-87  3.966519E-87  3.469185E-87  3.051087E-87  2.670579E-87  2.342838E-87  2.054678E-87
 -0.280000000000002     
  4.308509E-58  1.138317E-59  2.918498E-59  4.759475E-59  9.572822E-59  1.196502E-58  1.334826E-58  1.363087E-58
  1.427282E-58  1.576262E-58  1.314744E-58  1.100908E-58  1.016988E-58  8.611186E-59  7.450150E-59  5.883039E-59
  5.644139E-59  5.056094E-59  4.467555E-59  3.999109E-59  4.024081E-59  4.063862E-59  3.807561E-59  3.734492E-59
  3.696497E-59  3.725007E-59  3.628592E-59  3.242478E-59  3.154786E-59  2.732532E-59  2.565762E-59  2.313904E-59
  1.990199E-59  1.801008E-59  1.480339E-59  1.203480E-59  1.031122E-59  8.147453E-60  6.449439E-60  5.135913E-60
  4.153149E-60  3.113355E-60  2.289841E-60  1.772790E-60  1.222476E-60  9.343606E-61  6.247670E-61  4.524839E-61
  3.112838E-61  2.124885E-61  1.419197E-61  9.284490E-62  5.961736E-62  3.869067E-62  2.424754E-62  1.528847E-62
  9.217129E-63  5.729857E-63  3.272749E-63  1.959542E-63  1.135470E-63  6.340008E-64  3.549246E-64  1.937393E-64
  1.067319E-64  5.737635E-65  2.902391E-65  1.543811E-65  7.506931E-66  3.843135E-66  1.833953E-66  8.929124E-67
  4.289149E-67  1.925966E-67  8.902170E-68  3.840955E-68  1.689213E-68  7.336184E-69  2.965040E-69  1.251126E-69
  5.075895E-70  2.020084E-70  8.015275E-71  3.120292E-71  1.240027E-71  4.990648E-72  2.046807E-72  8.790210E-73
  4.035520E-73  1.899268E-73  9.535583E-74  5.017310E-74  2.789679E-74  1.582124E-74  9.476589E-75  5.779607E-75
  3.718611E-75  2.379081E-75  1.558139E-75  1.029159E-75  7.057033E-76  4.886772E-76  3.371891E-76  2.397545E-76
  1.684306E-76  1.249248E-76  8.993459E-77  6.604082E-77  4.974099E-77  3.744399E-77  2.809835E-77  2.120312E-77
  1.652019E-77  1.275137E-77  9.953896E-78  7.765605E-78  6.168405E-78  4.929788E-78  3.925216E-78  3.165380E-78
  2.588038E-78  2.101754E-78  1.735210E-78  1.437119E-78  1.191833E-78  1.006966E-78  8.302393E-79  7.065177E-79
  6.044977E-79  5.227278E-79  4.476808E-79  3.852222E-79  3.394035E-79  2.946317E-79  2.637434E-79  2.302879E-79
  2.068307E-79  1.859747E-79  1.646986E-79  1.488341E-79  1.348673E-79  1.222589E-79  1.119040E-79  1.001411E-79
  9.250253E-80  8.504234E-80  7.801766E-80  7.096160E-80  6.521857E-80  6.020880E-80  5.533986E-80  5.092173E-80
  4.696734E-80  4.349995E-80  4.034464E-80  3.669843E-80  3.395865E-80  3.130430E-80  2.830916E-80  2.565763E-80
  2.333984E-80  2.117576E-80  1.864994E-80  1.681536E-80  1.478797E-80  1.317830E-80  1.138272E-80  1.002701E-80
  8.672151E-81  7.491158E-81  6.495513E-81  5.473742E-81  4.714880E-81  4.003384E-81  3.390773E-81  2.816266E-81
  2.385519E-81  1.993891E-81  1.665113E-81  1.368523E-81  1.141384E-81  9.487231E-82  7.791271E-82  6.427140E-82
  5.288195E-82  4.368499E-82  3.586233E-82  2.939954E-82  2.416985E-82  1.993237E-82  1.640901E-82  1.363749E-82
  1.123095E-82  9.270236E-83  7.709783E-83  6.355135E-83  5.313231E-83  4.383535E-83  3.664237E-83  3.046525E-83
  2.547917E-83  2.134079E-83  1.788246E-83  1.487500E-83  1.254037E-83  1.061334E-83  8.834965E-84  7.479664E-84
  6.316381E-84  5.344850E-84  4.502972E-84  3.799131E-84  3.227557E-84  2.741461E-84  2.331938E-84  1.968263E-84
  1.679400E-84  1.442505E-84  1.218242E-84  1.045433E-84  8.924640E-85  7.677810E-85  6.492408E-85  5.615238E-85
  4.792566E-85  4.145010E-85  3.538712E-85  3.037236E-85  2.621712E-85  2.263149E-85  1.939142E-85  1.669105E-85
  1.449032E-85  1.250405E-85  1.082174E-85  9.246937E-86  8.096645E-86  6.994483E-86  6.044955E-86  5.266248E-86
  4.547127E-86  3.972293E-86  3.444618E-86  2.998070E-86  2.618752E-86  2.273955E-86  1.983432E-86  1.720635E-86
  1.511941E-86  1.318372E-86  1.149140E-86  1.007543E-86  8.854646E-87  7.766099E-87  6.814383E-87  5.967054E-87
 -0.270000000000002     
  1.854147E-57  5.075885E-59  1.300964E-58  2.115084E-58  4.250281E-58  5.291071E-58  5.871582E-58  5.972084E-58
  6.217784E-58  6.821222E-58  5.655573E-58  4.699512E-58  4.324266E-58  3.642707E-58  3.145242E-58  2.484377E-58
  2.389604E-58  2.156089E-58  1.915945E-58  1.725798E-58  1.744229E-58  1.766307E-58  1.655342E-58  1.618073E-58
  1.597900E-58  1.603898E-58  1.555382E-58  1.379388E-58  1.332953E-58  1.146040E-58  1.068384E-58  9.554779E-59
  8.141909E-59  7.298119E-59  5.947266E-59  4.786620E-59  4.059476E-59  3.174168E-59  2.483446E-59  1.956868E-59
  1.562663E-59  1.156560E-59  8.396006E-60  6.416387E-60  4.363257E-60  3.290324E-60  2.166811E-60  1.547645E-60
  1.048068E-60  7.042589E-61  4.628040E-61  2.979086E-61  1.878980E-61  1.197523E-61  7.375776E-62  4.563150E-62
  2.700557E-62  1.646417E-62  9.216781E-63  5.403379E-63  3.064597E-63  1.674415E-63  9.157464E-64  4.885777E-64
  2.626713E-64  1.378502E-64  6.789104E-65  3.520826E-65  1.665601E-65  8.298633E-66  3.844696E-66  1.817352E-66
  8.476537E-67  3.688713E-67  1.650949E-67  6.891909E-68  2.925426E-68  1.232919E-68  4.830054E-69  1.974872E-69
  7.785735E-70  3.031022E-70  1.181189E-70  4.561272E-71  1.821721E-71  7.502678E-72  3.183598E-72  1.428189E-72
  6.942330E-73  3.445590E-73  1.819389E-73  1.007183E-73  5.802019E-74  3.398250E-74  2.086610E-74  1.314247E-74
  8.613849E-75  5.626978E-75  3.744458E-75  2.502345E-75  1.717421E-75  1.202927E-75  8.474165E-76  6.076638E-76
  4.278779E-76  3.246884E-76  2.341189E-76  1.722766E-76  1.305380E-76  9.926778E-77  7.498806E-77  5.651216E-77
  4.445052E-77  3.431909E-77  2.698288E-77  2.110383E-77  1.687442E-77  1.354809E-77  1.078492E-77  8.658008E-78
  7.195458E-78  5.832903E-78  4.804767E-78  3.993850E-78  3.322448E-78  2.823054E-78  2.342908E-78  1.996165E-78
  1.710717E-78  1.471209E-78  1.270650E-78  1.096773E-78  9.730570E-79  8.393404E-79  7.522625E-79  6.568815E-79
  5.930659E-79  5.336001E-79  4.729186E-79  4.255256E-79  3.902682E-79  3.524795E-79  3.219885E-79  2.907008E-79
  2.693339E-79  2.462567E-79  2.268726E-79  2.073270E-79  1.905057E-79  1.769800E-79  1.619513E-79  1.482191E-79
  1.375526E-79  1.275849E-79  1.179734E-79  1.076071E-79  9.907281E-80  9.121905E-80  8.259674E-80  7.467879E-80
  6.791036E-80  6.166859E-80  5.447255E-80  4.888830E-80  4.281679E-80  3.805275E-80  3.284733E-80  2.904594E-80
  2.504415E-80  2.156295E-80  1.864331E-80  1.568497E-80  1.345917E-80  1.136348E-80  9.624975E-81  8.003900E-81
  6.751963E-81  5.618328E-81  4.697424E-81  3.869137E-81  3.207147E-81  2.660555E-81  2.179746E-81  1.800478E-81
  1.478954E-81  1.219502E-81  9.996438E-82  8.219615E-82  6.811355E-82  5.582940E-82  4.587548E-82  3.804619E-82
  3.143447E-82  2.589037E-82  2.165095E-82  1.788411E-82  1.485028E-82  1.234055E-82  1.030725E-82  8.556260E-83
  7.128309E-83  6.001203E-83  5.022772E-83  4.184941E-83  3.536183E-83  2.992099E-83  2.498597E-83  2.116673E-83
  1.786288E-83  1.511043E-83  1.276624E-83  1.075056E-83  9.159102E-84  7.765723E-84  6.599925E-84  5.568371E-84
  4.781490E-84  4.089766E-84  3.453953E-84  2.962266E-84  2.528482E-84  2.172465E-84  1.842315E-84  1.592398E-84
  1.358262E-84  1.180424E-84  1.010085E-84  8.605700E-85  7.449023E-85  6.418234E-85  5.519432E-85  4.740052E-85
  4.125289E-85  3.556461E-85  3.089861E-85  2.635123E-85  2.314410E-85  1.996185E-85  1.728925E-85  1.503535E-85
  1.300627E-85  1.136125E-85  9.883526E-86  8.586504E-86  7.483191E-86  6.502358E-86  5.680722E-86  4.936837E-86
  4.328592E-86  3.782667E-86  3.303402E-86  2.897381E-86  2.535953E-86  2.228172E-86  1.957662E-86  1.713083E-86
 -0.260000000000002     
  7.820060E-57  2.217078E-58  5.680457E-58  9.204828E-58  1.847992E-57  2.291495E-57  2.528932E-57  2.562170E-57
  2.652243E-57  2.890366E-57  2.382039E-57  1.964639E-57  1.800823E-57  1.509521E-57  1.301423E-57  1.028831E-57
  9.928193E-58  9.026058E-58  8.067622E-58  7.310093E-58  7.415904E-58  7.525611E-58  7.050352E-58  6.864938E-58
  6.760024E-58  6.756446E-58  6.520935E-58  5.738101E-58  5.506093E-58  4.698162E-58  4.347684E-58  3.854731E-58
  3.253950E-58  2.888467E-58  2.333248E-58  1.858711E-58  1.560006E-58  1.206903E-58  9.330743E-59  7.272858E-59
  5.734316E-59  4.189266E-59  3.000943E-59  2.263265E-59  1.517484E-59  1.128722E-59  7.318726E-60  5.153815E-60
  3.434769E-60  2.271320E-60  1.468171E-60  9.295391E-61  5.757327E-61  3.601632E-61  2.179341E-61  1.322400E-61
  7.680180E-62  4.590006E-62  2.517247E-62  1.444135E-62  8.012876E-63  4.281962E-63  2.286341E-63  1.191450E-63
  6.247623E-64  3.198682E-64  1.532624E-64  7.742528E-65  3.561539E-65  1.725467E-65  7.755456E-66  3.555230E-66
  1.609288E-66  6.783298E-67  2.936135E-67  1.186028E-67  4.860014E-68  1.987950E-68  7.569493E-69  3.006629E-69
  1.157263E-69  4.442291E-70  1.717982E-70  6.687445E-71  2.729634E-71  1.172349E-71  5.212393E-72  2.466060E-72
  1.262028E-72  6.601964E-73  3.642604E-73  2.093588E-73  1.241419E-73  7.509904E-74  4.695551E-74  3.037760E-74
  2.004143E-74  1.343326E-74  9.089902E-75  6.100685E-75  4.238894E-75  2.977951E-75  2.147908E-75  1.533130E-75
  1.088127E-75  8.336767E-76  6.042255E-76  4.497232E-76  3.379997E-76  2.592056E-76  1.968795E-76  1.510545E-76
  1.171864E-76  9.131456E-77  7.201619E-77  5.638312E-77  4.558925E-77  3.666529E-77  2.928348E-77  2.367888E-77
  1.961798E-77  1.605499E-77  1.316380E-77  1.100838E-77  9.164846E-78  7.843265E-78  6.493605E-78  5.561308E-78
  4.767869E-78  4.126532E-78  3.561895E-78  3.062597E-78  2.721290E-78  2.376188E-78  2.120370E-78  1.867319E-78
  1.680108E-78  1.521048E-78  1.348642E-78  1.219263E-78  1.110141E-78  1.012396E-78  9.289583E-79  8.325451E-79
  7.709766E-79  7.084762E-79  6.522645E-79  5.950388E-79  5.452831E-79  5.062085E-79  4.652510E-79  4.277658E-79
  3.952795E-79  3.654651E-79  3.388734E-79  3.073223E-79  2.853156E-79  2.623833E-79  2.368857E-79  2.139735E-79
  1.943034E-79  1.759119E-79  1.545693E-79  1.388399E-79  1.216967E-79  1.081067E-79  9.312146E-80  8.180127E-80
  7.034526E-80  6.063302E-80  5.233754E-80  4.392647E-80  3.768633E-80  3.187435E-80  2.690537E-80  2.225396E-80
  1.876742E-80  1.563446E-80  1.302552E-80  1.066796E-80  8.867488E-81  7.354307E-81  6.032689E-81  4.972590E-81
  4.086764E-81  3.369055E-81  2.765455E-81  2.268816E-81  1.864997E-81  1.538551E-81  1.266089E-81  1.052146E-81
  8.689166E-82  7.178547E-82  5.972767E-82  4.929635E-82  4.130682E-82  3.406701E-82  2.852086E-82  2.372548E-82
  1.987077E-82  1.668894E-82  1.396510E-82  1.164974E-82  9.832367E-83  8.337091E-83  6.949363E-83  5.888376E-83
  4.975442E-83  4.221306E-83  3.565750E-83  3.011382E-83  2.560293E-83  2.177038E-83  1.854011E-83  1.562856E-83
  1.339111E-83  1.151224E-83  9.712145E-84  8.318430E-84  7.144331E-84  6.137785E-84  5.190817E-84  4.482689E-84
  3.826075E-84  3.307484E-84  2.834919E-84  2.425678E-84  2.097613E-84  1.815615E-84  1.554432E-84  1.337047E-84
  1.165841E-84  1.002075E-84  8.695061E-85  7.426344E-85  6.524623E-85  5.637512E-85  4.873856E-85  4.244568E-85
  3.677077E-85  3.209388E-85  2.784703E-85  2.422288E-85  2.114899E-85  1.837731E-85  1.605450E-85  1.396357E-85
  1.224512E-85  1.069135E-85  9.376223E-86  8.210742E-86  7.193025E-86  6.308242E-86  5.550142E-86  4.869133E-86
 -0.250000000000002     
  3.234212E-56  9.490813E-58  2.430837E-57  3.925279E-57  7.872769E-57  9.724743E-57  1.067142E-56  1.077004E-56
  1.108398E-56  1.199912E-56  9.828923E-57  8.048091E-57  7.349345E-57  6.131719E-57  5.281366E-57  4.180946E-57
  4.050482E-57  3.711493E-57  3.336966E-57  3.040419E-57  3.093920E-57  3.144288E-57  2.942981E-57  2.853215E-57
  2.800244E-57  2.785954E-57  2.675342E-57  2.335377E-57  2.224795E-57  1.883596E-57  1.729994E-57  1.520223E-57
  1.271131E-57  1.117187E-57  8.944000E-58  7.050592E-58  5.854885E-58  4.481123E-58  3.422522E-58  2.638080E-58
  2.053372E-58  1.480405E-58  1.046175E-58  7.784552E-59  5.145419E-59  3.773968E-59  2.408810E-59  1.671903E-59
  1.096273E-59  7.131939E-60  4.533249E-60  2.821868E-60  1.715915E-60  1.053115E-60  6.257978E-61  3.722813E-61
  2.121054E-61  1.242113E-61  6.670298E-62  3.742558E-62  2.030480E-62  1.060726E-62  5.525806E-63  2.810608E-63
  1.436648E-63  7.170681E-64  3.340037E-64  1.642234E-64  7.341431E-65  3.455311E-65  1.505729E-65  6.686668E-66
  2.936131E-66  1.198420E-66  5.011013E-67  1.959869E-67  7.762651E-68  3.084112E-68  1.146120E-68  4.442705E-69
  1.682112E-69  6.441340E-70  2.503985E-70  1.001358E-70  4.242562E-71  1.921829E-71  9.014043E-72  4.503406E-72
  2.399957E-72  1.318830E-72  7.559885E-73  4.459291E-73  2.714320E-73  1.695129E-73  1.078322E-73  7.077905E-74
  4.722756E-74  3.214671E-74  2.203558E-74  1.492607E-74  1.059123E-74  7.468499E-75  5.383943E-75  3.874223E-75
  2.783055E-75  2.111482E-75  1.543163E-75  1.161025E-75  8.756251E-76  6.722692E-76  5.126518E-76  3.944228E-76
  3.088167E-76  2.421073E-76  1.914949E-76  1.506093E-76  1.212197E-76  9.778065E-77  7.890731E-77  6.425018E-77
  5.284480E-77  4.334822E-77  3.607952E-77  3.015976E-77  2.509986E-77  2.141310E-77  1.777806E-77  1.525188E-77
  1.314037E-77  1.140813E-77  9.841807E-78  8.528984E-78  7.587059E-78  6.585598E-78  5.938673E-78  5.204201E-78
  4.705156E-78  4.243697E-78  3.777555E-78  3.422642E-78  3.136315E-78  2.835877E-78  2.603999E-78  2.348683E-78
  2.178867E-78  2.003549E-78  1.843198E-78  1.681418E-78  1.549981E-78  1.437536E-78  1.318489E-78  1.208958E-78
  1.120421E-78  1.040140E-78  9.612867E-79  8.783302E-79  8.062590E-79  7.418751E-79  6.714801E-79  6.064420E-79
  5.496740E-79  4.977840E-79  4.382417E-79  3.925056E-79  3.426319E-79  3.035696E-79  2.609247E-79  2.297677E-79
  1.976111E-79  1.692941E-79  1.459333E-79  1.223137E-79  1.045451E-79  8.796451E-80  7.414634E-80  6.147640E-80
  5.171616E-80  4.286326E-80  3.572303E-80  2.935972E-80  2.429481E-80  2.011302E-80  1.645280E-80  1.356251E-80
  1.113739E-80  9.178799E-81  7.513892E-81  6.186593E-81  5.118349E-81  4.206485E-81  3.456450E-81  2.870153E-81
  2.370989E-81  1.957865E-81  1.639134E-81  1.353966E-81  1.127164E-81  9.372373E-82  7.841171E-82  6.518002E-82
  5.443622E-82  4.576420E-82  3.841669E-82  3.205494E-82  2.708593E-82  2.293109E-82  1.913043E-82  1.622208E-82
  1.372038E-82  1.161427E-82  9.821624E-83  8.274315E-83  7.050296E-83  5.994064E-83  5.095112E-83  4.310071E-83
  3.686566E-83  3.169865E-83  2.677804E-83  2.302349E-83  1.964723E-83  1.693515E-83  1.434465E-83  1.243027E-83
  1.061187E-83  9.182048E-84  7.861084E-84  6.751126E-84  5.829509E-84  5.039380E-84  4.324171E-84  3.723866E-84
  3.237519E-84  2.791990E-84  2.419556E-84  2.070149E-84  1.815034E-84  1.569335E-84  1.356072E-84  1.183809E-84
  1.023190E-84  8.937526E-85  7.743339E-85  6.752229E-85  5.906762E-85  5.132481E-85  4.476585E-85  3.888034E-85
  3.421547E-85  2.979906E-85  2.611425E-85  2.287745E-85  2.012262E-85  1.761674E-85  1.550848E-85  1.362711E-85
 -0.240000000000002     
  1.312345E-55  3.983850E-57  1.020041E-56  1.641082E-56  3.288010E-56  4.046235E-56  4.414174E-56  4.438018E-56
  4.540697E-56  4.883023E-56  3.975452E-56  3.232393E-56  2.940979E-56  2.442965E-56  2.103346E-56  1.668330E-56
  1.623632E-56  1.499802E-56  1.356361E-56  1.242145E-56  1.267023E-56  1.288718E-56  1.204434E-56  1.162185E-56
  1.136302E-56  1.125006E-56  1.074634E-56  9.304165E-57  8.797898E-57  7.389358E-57  6.734651E-57  5.863978E-57
  4.856169E-57  4.224908E-57  3.351663E-57  2.613956E-57  2.147218E-57  1.625550E-57  1.226241E-57  9.344163E-58
  7.178846E-58  5.106562E-58  3.559150E-58  2.612267E-58  1.701888E-58  1.230552E-58  7.729524E-59  5.286195E-59
  3.409413E-59  2.181440E-59  1.363053E-59  8.338794E-60  4.976932E-60  2.995193E-60  1.747177E-60  1.018572E-60
  5.690933E-61  3.264125E-61  1.715605E-61  9.408527E-62  4.988478E-62  2.546268E-62  1.293262E-62  6.415794E-63
  3.194873E-63  1.553457E-63  7.028699E-64  3.360640E-64  1.459188E-64  6.665736E-65  2.814499E-65  1.209496E-65
  5.150393E-66  2.035740E-66  8.215944E-67  3.115276E-67  1.195961E-67  4.623398E-68  1.686752E-68  6.427326E-69
  2.420380E-69  9.387737E-70  3.720284E-70  1.554799E-70  6.911036E-71  3.306918E-71  1.636365E-71  8.582979E-72
  4.737391E-72  2.716091E-72  1.607058E-72  9.685589E-73  6.042989E-73  3.864890E-73  2.504603E-73  1.648892E-73
  1.123166E-73  7.679526E-74  5.297891E-74  3.642824E-74  2.609636E-74  1.861452E-74  1.327942E-74  9.736291E-75
  7.053335E-75  5.344287E-75  3.922643E-75  2.956027E-75  2.272351E-75  1.744819E-75  1.331559E-75  1.020812E-75
  8.120991E-76  6.363676E-76  5.059413E-76  3.986151E-76  3.214302E-76  2.611005E-76  2.097671E-76  1.701021E-76
  1.420717E-76  1.162784E-76  9.683205E-77  8.105206E-77  6.761843E-77  5.811430E-77  4.848502E-77  4.154310E-77
  3.588310E-77  3.103397E-77  2.695507E-77  2.330966E-77  2.077646E-77  1.809799E-77  1.625149E-77  1.429509E-77
  1.292919E-77  1.174569E-77  1.045617E-77  9.431253E-78  8.655755E-78  7.915779E-78  7.272584E-78  6.555898E-78
  6.081957E-78  5.573160E-78  5.155420E-78  4.727534E-78  4.318366E-78  4.024725E-78  3.697757E-78  3.396403E-78
  3.146554E-78  2.906178E-78  2.689445E-78  2.436183E-78  2.263918E-78  2.077870E-78  1.872120E-78  1.686688E-78
  1.528099E-78  1.381476E-78  1.211002E-78  1.083378E-78  9.467904E-79  8.380506E-79  7.199359E-79  6.308373E-79
  5.394746E-79  4.637495E-79  3.986211E-79  3.332875E-79  2.847725E-79  2.399924E-79  2.019399E-79  1.664220E-79
