,a,t,eta,ap/a,app/a
4139,1.2785292584408712e-11,0.0043595356719625345,703262870.5148801,1.486908123143382e-09,5.878840616607752e-26
4140,1.285022970787306e-11,0.004403317381238294,706678572.8088762,1.479451350306069e-09,5.84913247081141e-26
4141,1.2915496650148827e-11,0.0044475432461932194,710111489.4028527,1.4720322748854798e-09,5.81957446046988e-26
4142,1.2981095086401812e-11,0.004492217780171376,713561718.3404796,1.4646507064687078e-09,5.790165840494873e-26
4143,1.3047026700306064e-11,0.004537345504945271,717029334.2509202,1.4573064556055994e-09,5.760905783714861e-26
4144,1.3113293184087039e-11,0.0045829310014953994,720514422.3257949,1.449999333803901e-09,5.73179363022575e-26
4145,1.317989623856525e-11,0.0046289789445314615,724017072.9447898,1.4427269334973664e-09,5.702828567808422e-26
4146,1.3246837573199605e-11,0.004675494126498438,727537389.156843,1.4354904367804067e-09,5.674009901892238e-26
4147,1.331411890613148e-11,0.004722481165671141,731075442.3656543,1.4282905231887011e-09,5.645336865575705e-26
4148,1.3381741964228727e-11,0.004769944924202779,734631330.1288214,1.4211270079336835e-09,5.616808703861868e-26
4149,1.3449708483130206e-11,0.00481789022515248,738205142.389217,1.4139997071610603e-09,5.588424707850679e-26
4150,1.3518020207290012e-11,0.00486632201373507,741796971.9926798,1.4069043382336392e-09,5.560184178008373e-26
4151,1.3586678890022453e-11,0.0049152456045103085,745406936.8038713,1.3998258608418962e-09,5.532086399376739e-26
4152,1.3655686293546956e-11,0.004964666328025991,749035166.3730024,1.3927831585672144e-09,5.504130583002408e-26
4153,1.3725044189033514e-11,0.005014589223456466,752681741.7758784,1.3857760506503692e-09,5.476316053347473e-26
4154,1.3794754356647806e-11,0.0050650193962386535,756346754.3679357,1.378804357245745e-09,5.448642059890558e-26
4155,1.386481858559712e-11,0.00511596197367097,760030294.2675672,1.371867899416699e-09,5.421107937708194e-26
4156,1.3935238674176217e-11,0.0051674225097361175,763732484.9541019,1.3649503154371225e-09,5.393712971083982e-26
4157,1.400601642981342e-11,0.005219406682985384,767453449.9651752,1.3580597007313018e-09,5.366456467088828e-26
4158,1.4077153669117242e-11,0.005271919970651026,771193292.2020828,1.3512039071892023e-09,5.339337710872634e-26
4159,1.4148652217922676e-11,0.005324967768685495,774952105.6506754,1.344382758847479e-09,5.312355982524101e-26
4160,1.4220513911338263e-11,0.005378555523488723,778729990.3936692,1.3375960806320009e-09,5.28551060299195e-26
4161,1.4292740593793104e-11,0.005432688736551551,782527043.3584502,1.330843623493213e-09,5.258800891160515e-26
4162,1.4365334119084411e-11,0.005487372957647992,786343362.1856084,1.3241249873863738e-09,5.232226129095683e-26
4163,1.4438296350424755e-11,0.0055426138034911756,790179047.4034324,1.3174403033490186e-09,5.205785681011727e-26
4164,1.4511629160490106e-11,0.005598416934246541,794034197.2652909,1.3107893998095578e-09,5.179478847578588e-26
4165,1.458533443146785e-11,0.005654788125463274,797908911.3559204,1.304172106063424e-09,5.153304949340141e-26
4166,1.4659414055105033e-11,0.005711733487340828,801803321.6058744,1.297588252268697e-09,5.127263325873767e-26
4167,1.473386993275716e-11,0.005769257705790604,805717415.5766795,1.2910374096890892e-09,5.101353271505228e-26
4168,1.4808703975436626e-11,0.005827367655862974,809651399.3682628,1.2845195743765367e-09,5.0755741898326136e-26
4169,1.4883918103862017e-11,0.005886069221766394,813605351.91235,1.2780346763924333e-09,5.049925349205486e-26
4170,1.495951424850728e-11,0.005945368294293631,817579363.4093624,1.271582549292976e-09,5.0244061258401454e-26
4171,1.5035494349651514e-11,0.006005271022436868,821573544.1007833,1.2651630274754562e-09,4.9990158769719235e-26
4172,1.5111860357428408e-11,0.00606578347039372,825587988.3534453,1.2587758590074027e-09,4.973753930354641e-26
4173,1.518861423187654e-11,0.006126911867330832,829622800.3807992,1.2524207172338853e-09,4.948619616834107e-26
4174,1.526575794298961e-11,0.006188662505715405,833678085.751919,1.2460976906186646e-09,4.9236123696887583e-26
4175,1.5343293470766962e-11,0.006251041699156347,837753948.4460605,1.2398066168725876e-09,4.898731442143302e-26
4176,1.5421222805264628e-11,0.006314055880171756,841850496.4814215,1.2335473345266004e-09,4.87397628604903e-26
4177,1.5499547946646055e-11,0.006377711459673532,845967833.200109,1.2273196829276334e-09,4.8493461992887764e-26
4178,1.557827090523367e-11,0.0064420149923526656,850106061.9751105,1.2211232504230454e-09,4.8248405786072326e-26
