 -0.885000000000000     
  0.000000E+00 -8.516877-101 -4.327017-101  2.746542-100  7.563043-100  5.615203-100  1.585824E-99  1.706970E-99
  2.449227E-87  2.456015E-87  2.473163E-87  2.461867E-87  2.472466E-87  2.490287E-87  2.478388E-87  2.499990E-87
  2.494185E-87  2.514817E-87  2.507638E-87  2.497571E-87  2.519763E-87  2.499771E-87  2.480262E-87  2.498031E-87
  2.493999E-87  2.491094E-87  2.495176E-87  2.484058E-87  2.491282E-87  2.482449E-87  2.479934E-87  2.457346E-87
  2.453539E-87  2.450799E-87  2.439327E-87  2.425841E-87  2.414514E-87  2.417469E-87  2.373448E-87  2.377665E-87
  2.371519E-87  2.359533E-87  2.343343E-87  2.311379E-87  2.295157E-87  2.283019E-87  2.267849E-87  2.231912E-87
  2.224062E-87  2.198660E-87  2.169792E-87  2.151788E-87  2.122529E-87  2.119177E-87  2.071924E-87  2.052996E-87
  2.024418E-87  2.013824E-87  1.978472E-87  1.937328E-87  1.920094E-87  1.888725E-87  1.858560E-87  1.815326E-87
  1.801726E-87  1.764778E-87  1.735823E-87  1.685504E-87  1.663588E-87  1.621002E-87  1.586277E-87  1.560090E-87
  1.517682E-87  1.485069E-87  1.451395E-87  1.407985E-87  1.377070E-87  1.341533E-87  1.302131E-87  1.262343E-87
  1.227489E-87  1.183095E-87  1.145888E-87  1.107664E-87  1.073983E-87  1.035735E-87  9.943550E-88  9.494042E-88
 -0.845000000000000     
  0.000000E+00 -1.025994E-89 -1.125645E-89  2.152943E-89  7.586744E-89  4.279914E-89  1.512882E-88  1.545060E-88
  1.363741E-88  2.930835E-88  1.477140E-88  5.379795E-88  5.452954E-88  8.854133E-88  1.121063E-87  1.171984E-87
  1.779732E-87  2.070516E-87  2.450377E-87  2.851958E-87  3.223175E-87  3.738276E-87  4.432723E-87  5.077946E-87
  5.245352E-87  6.054567E-87  7.209401E-87  7.703463E-87  8.895250E-87  9.486059E-87  1.060176E-86  1.125052E-86
