 -0.885000000000000     
  0.000000E+00  1.414009E-91  3.554309E-91  7.085464E-91  1.632384E-90  2.412633E-90  3.112230E-90  3.887264E-90
  5.284179E-90  8.451769E-90  5.164104E-90  7.034978E-90  1.190276E-89  1.502810E-89  1.756686E-89  1.811877E-89
  2.385033E-89  2.609126E-89  2.834928E-89  3.062822E-89  3.471076E-89  3.983026E-89  4.153441E-89  4.661890E-89
  4.850018E-89  5.522004E-89  6.126879E-89  6.351915E-89  7.007444E-89  7.448770E-89  7.895471E-89  8.513664E-89
  8.935353E-89  9.656948E-89  1.044620E-88  1.067838E-88  1.165179E-88  1.215618E-88  1.293305E-88  1.332976E-88
  1.451649E-88  1.510736E-88  1.563224E-88  1.638064E-88  1.700023E-88  1.857568E-88  1.867708E-88  2.006578E-88
  2.105541E-88  2.211599E-88  2.285455E-88  2.362682E-88  2.467645E-88  2.592497E-88  2.674965E-88  2.770068E-88
  2.888520E-88  3.034505E-88  3.069652E-88  3.227488E-88  3.377137E-88  3.472043E-88  3.632713E-88  3.651141E-88
  3.815007E-88  4.082487E-88  4.077866E-88  4.270321E-88  4.338647E-88  4.602774E-88  4.647505E-88  4.751610E-88
  4.974050E-88  5.037779E-88  5.324179E-88  5.365873E-88  5.570250E-88  5.768809E-88  5.816055E-88  6.035862E-88
  6.181720E-88  6.441706E-88  6.531152E-88  6.716401E-88  6.828076E-88  7.077383E-88  7.288515E-88  7.327804E-88
  7.630662E-88  7.828536E-88  7.981168E-88  8.105770E-88  8.368432E-88  8.528701E-88  8.691778E-88  8.853777E-88
  9.076632E-88  9.336988E-88  9.599215E-88  9.643954E-88  9.874543E-88  1.020384E-87  1.033341E-87  1.054776E-87
  1.049922E-87  1.109034E-87  1.107345E-87  1.137020E-87  1.162082E-87  1.185724E-87  1.197654E-87  1.207698E-87
  1.242952E-87  1.262603E-87  1.288483E-87  1.295905E-87  1.345645E-87  1.368092E-87  1.362361E-87  1.391869E-87
  1.424512E-87  1.448979E-87  1.462608E-87  1.489528E-87  1.506818E-87  1.544336E-87  1.551127E-87  1.572538E-87
  1.593806E-87  1.629758E-87  1.657502E-87  1.655289E-87  1.701915E-87  1.701336E-87  1.736427E-87  1.743604E-87
  1.783831E-87  1.815329E-87  1.816523E-87  1.828880E-87  1.859041E-87  1.896766E-87  1.934047E-87  1.905376E-87
  1.951188E-87  1.983367E-87  1.994499E-87  2.007878E-87  2.031814E-87  2.059744E-87  2.066508E-87  2.082492E-87
  2.110398E-87  2.138458E-87  2.156518E-87  2.152088E-87  2.195170E-87  2.206083E-87  2.216564E-87  2.228317E-87
  2.259706E-87  2.294503E-87  2.272322E-87  2.311329E-87  2.302658E-87  2.348960E-87  2.320402E-87  2.361263E-87
  2.363310E-87  2.375819E-87  2.410646E-87  2.394519E-87  2.405903E-87  2.418800E-87  2.442573E-87  2.432945E-87
  2.452685E-87  2.459318E-87  2.476337E-87  2.464880E-87  2.475338E-87  2.493032E-87  2.480997E-87  2.502489E-87
  2.496559E-87  2.517108E-87  2.509814E-87  2.499662E-87  2.521767E-87  2.501696E-87  2.482117E-87  2.499828E-87
  2.495739E-87  2.492791E-87  2.496859E-87  2.485702E-87  2.492944E-87  2.484117E-87  2.481623E-87  2.459089E-87
  2.455351E-87  2.452724E-87  2.441393E-87  2.428027E-87  2.416953E-87  2.420149E-87  2.376468E-87  2.381079E-87
  2.375366E-87  2.363807E-87  2.348243E-87  2.316921E-87  2.301569E-87  2.290389E-87  2.276044E-87  2.241216E-87
  2.234832E-87  2.210925E-87  2.183662E-87  2.167206E-87  2.140365E-87  2.138843E-87  2.093847E-87  2.077648E-87
  2.051543E-87  2.044183E-87  2.012158E-87  1.973570E-87  1.960632E-87  1.932770E-87  1.906673E-87  1.868284E-87
  1.858607E-87  1.826685E-87  1.803166E-87  1.757361E-87  1.741928E-87  1.704185E-87  1.675752E-87  1.655272E-87
