 -0.885000000000000     
  0.000000E+00  1.433565-101  3.376341-101  6.244888-101  1.475565-100  2.241929-100  2.934114-100  3.654713-100
  5.172123E-89  6.310924E-89  3.857199E-89  9.493374E-89  1.183671E-88  1.474970E-88  1.724462E-88  1.772518E-88
  2.335954E-88  2.555796E-88  2.777060E-88  3.007513E-88  3.400645E-88  3.896469E-88  4.066259E-88  4.567808E-88
  4.743519E-88  5.399554E-88  5.984243E-88  6.211021E-88  6.846549E-88  7.267158E-88  7.708254E-88  8.310101E-88
  8.716263E-88  9.415867E-88  1.017830E-87  1.041475E-87  1.136058E-87  1.184870E-87  1.260154E-87  1.297751E-87
  1.410852E-87  1.468532E-87  1.517945E-87  1.591785E-87  1.651658E-87  1.802949E-87  1.810974E-87  1.944254E-87
  2.040780E-87  2.141450E-87  2.211838E-87  2.286598E-87  2.384602E-87  2.503266E-87  2.582281E-87  2.671491E-87
  2.784528E-87  2.922316E-87  2.955464E-87  3.106226E-87  3.248231E-87  3.335061E-87  3.486916E-87  3.504133E-87
  3.657476E-87  3.910176E-87  3.905513E-87  4.080939E-87  4.146969E-87  4.395604E-87  4.434500E-87  4.530042E-87
  4.734956E-87  4.796238E-87  5.067884E-87  5.100857E-87  5.289849E-87  5.472778E-87  5.508888E-87  5.718248E-87
  5.852763E-87  6.092976E-87  6.170776E-87  6.341326E-87  6.443269E-87  6.672864E-87  6.868028E-87  6.894782E-87
  7.170517E-87  7.356816E-87  7.490194E-87  7.601758E-87  7.843991E-87  7.987034E-87  8.134086E-87  8.276421E-87
  8.479594E-87  8.715875E-87  8.951492E-87  8.986441E-87  9.197496E-87  9.495066E-87  9.606478E-87  9.801407E-87
  9.747263E-87  1.029185E-86  1.026178E-86  1.052969E-86  1.075294E-86  1.096290E-86  1.106665E-86  1.115034E-86
  1.147269E-86  1.164030E-86  1.187109E-86  1.192768E-86  1.238077E-86  1.257860E-86  1.251493E-86  1.277582E-86
  1.306958E-86  1.328562E-86  1.340091E-86  1.363749E-86  1.379065E-86  1.412982E-86  1.417446E-86  1.436854E-86
  1.454587E-86  1.486584E-86  1.511482E-86  1.508838E-86  1.550169E-86  1.549406E-86  1.580631E-86  1.585452E-86
  1.621495E-86  1.649554E-86  1.649961E-86  1.660673E-86  1.686593E-86  1.720488E-86  1.753062E-86  1.726426E-86
  1.767260E-86  1.796310E-86  1.805064E-86  1.817069E-86  1.837161E-86  1.862201E-86  1.867230E-86  1.880450E-86
  1.905344E-86  1.930163E-86  1.946015E-86  1.940858E-86  1.978665E-86  1.988859E-86  1.997193E-86  2.007128E-86
  2.034810E-86  2.065759E-86  2.045415E-86  2.079741E-86  2.071532E-86  2.112075E-86  2.085976E-86  2.122540E-86
  2.124448E-86  2.134478E-86  2.165096E-86  2.150361E-86  2.160160E-86  2.170924E-86  2.191967E-86  2.182298E-86
  2.199348E-86  2.205316E-86  2.218808E-86  2.208579E-86  2.216842E-86  2.231930E-86  2.220589E-86  2.239063E-86
  2.233696E-86  2.250800E-86  2.243037E-86  2.233484E-86  2.251644E-86  2.233218E-86  2.215242E-86  2.229814E-86
  2.224747E-86  2.221218E-86  2.224388E-86  2.212742E-86  2.218108E-86  2.208702E-86  2.205262E-86  2.183732E-86
  2.179284E-86  2.175562E-86  2.163943E-86  2.150799E-86  2.139586E-86  2.140780E-86  2.100044E-86  2.102783E-86
  2.095683E-86  2.084210E-86  2.068234E-86  2.039021E-86  2.023251E-86  2.011404E-86  1.996939E-86  1.963659E-86
  1.956255E-86  1.933152E-86  1.907101E-86  1.890258E-86  1.864528E-86  1.860893E-86  1.819652E-86  1.802865E-86
  1.777349E-86  1.768333E-86  1.738164E-86  1.701820E-86  1.688247E-86  1.661500E-86  1.636286E-86  1.600438E-86
  1.589305E-86  1.559288E-86  1.536189E-86  1.494424E-86  1.478335E-86  1.443493E-86  1.416458E-86  1.396382E-86
  1.363393E-86  1.340009E-86  1.314741E-86  1.280651E-86  1.257725E-86  1.232719E-86  1.203713E-86  1.172233E-86
  1.148878E-86  1.116775E-86  1.089310E-86  1.063774E-86  1.041842E-86  1.015665E-86  9.858436E-87  9.531322E-87
 -0.835000000000000     
  0.000000E+00  2.613920E-88  6.308070E-88  1.303473E-87  2.910953E-87  4.369780E-87  5.586064E-87  6.965315E-87
  9.483261E-87  8.335797E-87  1.321623E-86  1.796746E-86  2.173969E-86  2.712026E-86  3.173657E-86  3.248545E-86
  4.293746E-86  4.697266E-86  5.112780E-86  5.545539E-86  6.253565E-86  7.158287E-86  7.475177E-86  8.405319E-86
  8.714830E-86  9.922241E-86  1.098807E-85  1.141913E-85  1.257940E-85  1.332536E-85  1.415619E-85  1.525787E-85
  1.600305E-85  1.727895E-85  1.866211E-85  1.912186E-85  2.085798E-85  2.175603E-85  2.313641E-85  2.380422E-85
  2.581910E-85  2.689933E-85  2.778695E-85  2.916479E-85  3.025462E-85  3.300263E-85  3.311946E-85  3.555516E-85
  3.732511E-85  3.912990E-85  4.040518E-85  4.177909E-85  4.353519E-85  4.566897E-85  4.710087E-85  4.867922E-85
  5.073411E-85  5.319324E-85  5.379651E-85  5.653955E-85  5.907407E-85  6.061849E-85  6.333154E-85  6.363593E-85
  6.635241E-85  7.088530E-85  7.080205E-85  7.384387E-85  7.504197E-85  7.950303E-85  8.016129E-85  8.181682E-85
  8.540409E-85  8.652365E-85  9.139337E-85  9.192535E-85  9.520436E-85  9.845674E-85  9.892433E-85  1.027308E-84
  1.050935E-84  1.092968E-84  1.105720E-84  1.135569E-84  1.153645E-84  1.193502E-84  1.228079E-84  1.231296E-84
  1.278728E-84  1.311999E-84  1.334402E-84  1.353054E-84  1.395456E-84  1.420149E-84  1.444921E-84  1.468739E-84
